level,area,mean,lower,upper
0,Ghana,0.435242487631802,0.380072502654221,0.489432094640944
1,Greater Accra,0.414645723957629,0.353317900309721,0.476888145002304
1,North East,0.342141608396776,0.249243799007587,0.435865646948539
1,Upper West,0.517982225029115,0.437547556708086,0.594831315242366
1,Upper East,0.493749798325758,0.41851968278123,0.571034937225296
1,Savannah,0.445801325544337,0.34652189921788,0.5414048778278
1,Bono,0.490528748616201,0.414190081819557,0.567729036961098
1,Ahafo,0.477266896212681,0.391686977731454,0.562155752121516
1,Bono East,0.479012166291499,0.39882731696153,0.555629525281514
1,Volta,0.501370688017187,0.430730045680295,0.571738522931355
1,Oti,0.393789092683995,0.317302337663227,0.476360430949617
1,Ashanti,0.404426634649817,0.34406537196381,0.461740876291735
1,Central,0.40945239641613,0.345877572948188,0.477099762682107
1,Western,0.483369961812228,0.411663715539422,0.555316688869871
1,Western North,0.437547161685824,0.357616309864123,0.522909307267103
1,Eastern,0.40352910506153,0.3422214603915,0.466205875556077
1,Northern,0.506491140158801,0.421307574969267,0.58690235206446
